2ea2ad4,Graham Wakefield,Thu, 29 Mar 2018 10:14:46 -0400
f431bd6,Graham Wakefield,Thu, 29 Mar 2018 10:14:07 -0400
151c18d,Graham Wakefield,Thu, 29 Mar 2018 10:13:04 -0400
c6146a5,Graham Wakefield,Thu, 29 Mar 2018 10:12:41 -0400
d0a569d,Graham Wakefield,Thu, 29 Mar 2018 10:12:07 -0400
bb05c44,Graham Wakefield,Thu, 29 Mar 2018 10:11:52 -0400
d02569b,Graham Wakefield,Thu, 29 Mar 2018 10:09:02 -0400
49923d5,Graham Wakefield,Thu, 29 Mar 2018 10:04:56 -0400
7e4c0b0,Graham Wakefield,Thu, 29 Mar 2018 09:57:58 -0400
a0513bf,Graham Wakefield,Thu, 29 Mar 2018 09:57:50 -0400
b453aaf,Graham Wakefield,Thu, 29 Mar 2018 09:54:15 -0400
8be9c1c,Graham Wakefield,Thu, 29 Mar 2018 09:53:31 -0400
a12168d,Graham Wakefield,Thu, 29 Mar 2018 09:53:26 -0400
d044e98,Graham Wakefield,Thu, 29 Mar 2018 09:52:13 -0400
879a553,Graham Wakefield,Thu, 29 Mar 2018 09:48:28 -0400
4e547e3,Graham Wakefield,Thu, 29 Mar 2018 09:48:16 -0400
5fade61,Graham Wakefield,Thu, 29 Mar 2018 09:41:38 -0400
9b762a2,Graham Wakefield,Thu, 29 Mar 2018 09:41:32 -0400
985ad3e,Graham Wakefield,Thu, 29 Mar 2018 09:40:54 -0400
dca3149,Graham Wakefield,Thu, 29 Mar 2018 09:40:35 -0400
d7b1c49,Graham Wakefield,Thu, 29 Mar 2018 09:40:33 -0400
8308849,Graham Wakefield,Thu, 29 Mar 2018 09:39:52 -0400
ca0793a,Graham Wakefield,Thu, 29 Mar 2018 09:39:48 -0400
503be7d,Graham Wakefield,Thu, 29 Mar 2018 09:39:44 -0400
3797822,Graham Wakefield,Thu, 29 Mar 2018 09:39:24 -0400
4a73f96,Graham Wakefield,Thu, 29 Mar 2018 09:39:15 -0400
a3c01b6,Graham Wakefield,Thu, 29 Mar 2018 09:39:13 -0400
7310cb8,Graham Wakefield,Thu, 29 Mar 2018 09:39:09 -0400
aa16c9b,Graham Wakefield,Thu, 29 Mar 2018 09:38:51 -0400
3351093,Graham Wakefield,Thu, 29 Mar 2018 09:38:38 -0400
6b3b273,Graham Wakefield,Thu, 29 Mar 2018 09:37:13 -0400
61ebdff,Graham Wakefield,Thu, 29 Mar 2018 09:36:59 -0400
63d2104,Graham Wakefield,Thu, 29 Mar 2018 09:36:44 -0400
997f091,Graham Wakefield,Thu, 29 Mar 2018 09:36:30 -0400
ea2f7d8,Graham Wakefield,Thu, 29 Mar 2018 09:36:22 -0400
